can_id,can_nam,can_off,can_off_sta,can_off_dis,can_par_aff,can_inc_cha_ope_sea,can_str1,can_str2,can_cit,can_sta,can_zip,ind_ite_con,ind_uni_con,ind_con,par_com_con,oth_com_con,can_con,tot_con,tra_fro_oth_aut_com,can_loa,oth_loa,tot_loa,off_to_ope_exp,off_to_fun,off_to_leg_acc,oth_rec,tot_rec,ope_exp,exe_leg_acc_dis,fun_dis,tra_to_oth_aut_com,can_loa_rep,oth_loa_rep,tot_loa_rep,ind_ref,par_com_ref,oth_com_ref,tot_con_ref,oth_dis,tot_dis,cas_on_han_beg_of_per,cas_on_han_clo_of_per,net_con,net_ope_exp,deb_owe_by_com,deb_owe_to_com,cov_sta_dat,cov_end_dat,winner,votes
H8WI09050,"SENSENBRENNER, F. JAMES JR.",H,WI,5,REP,INCUMBENT,N76 W14726 NORTH POINT DR.,,MENOMONEE FALLS,WI,53051,"$141,184.99 ","$34,268.16 ","$175,453.15 ","$2,000.00 ","$187,750.00 ",,"$365,203.15 ",,,,,,,,$353.05 ,"$365,556.20 ","$265,824.16 ",,,,,,,,,,,"$4,000.00 ","$269,824.16 ","$393,925.71 ","$489,657.75 ","$365,203.15 ","$265,824.16 ",,,01-01-15,10/19/2016,Y,260705
H0FL08208,"WEBSTER, DANIEL",H,FL,11,REP,INCUMBENT,P. O. BOX 1007,,WEBSTER,FL,33597,"$504,415.07 ","$117,792.79 ","$622,207.86 ",,"$213,850.00 ",,"$836,057.86 ",,,,,$10.00 ,,,$154.15 ,"$836,222.01 ","$785,308.58 ",,,,,,,"$5,400.00 ",,,"$5,400.00 ","$131,000.00 ","$921,708.58 ","$162,472.14 ","$76,985.57 ","$830,657.86 ","$785,298.58 ",,,01-01-15,10/19/2016,Y,257881
H8ME01120,"PINGREE, CHELLIE M",H,ME,1,DEM,INCUMBENT,138 TURNER FARM RD,,NORTH HAVEN,ME,4853,"$278,160.33 ","$103,160.81 ","$381,321.14 ",,"$151,250.00 ","$40,986.84 ","$573,557.98 ",,,,,"$1,510.95 ",,,$18.05 ,"$575,086.98 ","$239,805.52 ",,,,,,,"$2,250.00 ",,,"$2,250.00 ","$1,600.00 ","$243,655.52 ","$215,458.53 ","$546,889.99 ","$571,307.98 ","$238,294.57 ","$20,000.00 ",,01-01-15,10/19/2016,Y,255428
H6FL01119,"GAETZ, MATT",H,FL,1,REP,OPEN,"301 BROOKS STREET, SE",,FORT WALTON BEACH,FL,32548,"$648,874.74 ","$38,149.49 ","$687,024.23 ",,"$147,550.00 ","$117,589.66 ","$952,163.89 ",,"$115,000.00 ",,"$115,000.00 ",,,,,"$1,067,163.89 ","$993,759.23 ",,,,,,,"$1,000.00 ",,,"$1,000.00 ","$27,000.00 ","$1,021,759.23 ",,"$45,404.66 ","$951,163.89 ","$993,759.23 ","$120,000.00 ",,01-01-16,10/19/2016,Y,254280
H6FL09070,"BILIRAKIS, GUS M",H,FL,12,REP,INCUMBENT,PO BOX 606,,TARPON SPRINGS,FL,346880606,"$507,213.61 ","$64,768.82 ","$571,982.43 ",,"$736,175.00 ",,"$1,308,157.43 ","$1,939.99 ",,,,"$5,501.51 ",,,$46.80 ,"$1,315,645.73 ","$1,266,055.92 ",,,,,,,"$2,145.07 ",,,"$2,145.07 ","$169,650.00 ","$1,437,850.99 ","$429,105.83 ","$306,900.57 ","$1,306,012.36 ","$1,260,554.41 ",,,01-01-15,10/19/2016,Y,253347
H4PA18131,"DOYLE, MIKE",H,PA,14,DEM,INCUMBENT,205 HAWTHORNE CT,,PITTSBURGH,PA,15221,"$142,288.00 ","$2,691.44 ","$144,979.44 ",,"$637,734.26 ",,"$782,713.70 ",,,,,"$2,814.24 ",,,"$1,277.63 ","$786,805.57 ","$457,290.79 ",,,,,,,,,"$5,000.00 ","$5,000.00 ","$243,295.00 ","$705,585.79 ","$210,531.58 ","$291,751.36 ","$777,713.70 ","$454,476.55 ",,,01-01-15,10/19/2016,Y,252709
H8CO02137,"POLIS, JARED",H,CO,2,DEM,INCUMBENT,P.O. BOX 4572,,BOULDER,CO,80306,"$822,358.00 ","$63,748.93 ","$886,106.93 ",,,"$397,729.01 ","$1,283,835.94 ","$1,151.32 ",,,,$352.97 ,,,$35.21 ,"$1,285,375.44 ","$1,103,191.74 ",,,,,,,"$2,012.00 ",,,"$2,012.00 ","$98,950.00 ","$1,204,153.74 ","$10,603.18 ","$91,824.88 ","$1,281,823.94 ","$1,102,838.77 ",,,01-01-15,10/19/2016,Y,251988
H6MN05183,"ELLISON, KEITH MAURICE",H,MN,5,DEM,INCUMBENT,PO BOX 6072,,MINNEAPOLIS,MN,55406,"$934,008.98 ","$1,063,994.48 ","$1,998,003.46 ",,"$303,750.00 ",,"$2,301,753.46 ","$35,764.29 ",,,,"$5,699.70 ",,,"$8,252.97 ","$2,351,470.42 ","$1,628,028.80 ",,,,,,,"$6,905.07 ",,,"$6,905.07 ","$513,663.73 ","$2,148,597.60 ","$162,747.78 ","$365,620.60 ","$2,294,848.39 ","$1,622,329.10 ",,,01-01-15,10/19/2016,Y,249957
H8MO09153,"LUETKEMEYER, W BLAINE",H,MO,3,REP,INCUMBENT,215 MAIN STREET,,ST ELIZABETH,MO,65075,"$493,692.37 ","$23,660.26 ","$517,352.63 ",,"$1,292,452.36 ",,"$1,809,804.99 ","$18,714.81 ",,,,"$5,668.51 ",,,,"$1,834,188.31 ","$556,138.38 ",,,,,,,"$13,914.00 ",,,"$13,914.00 ","$288,302.00 ","$858,354.38 ","$965,976.43 ","$1,941,810.36 ","$1,795,890.99 ","$550,469.87 ","$1,050,000.00 ",,01-01-15,10/19/2016,Y,248880
H6IL18088,"LAHOOD, DARIN MCKAY",H,IL,18,REP,INCUMBENT,11607 N GLENSHIRE DR,,DUNLAP,IL,61525,"$1,230,616.43 ","$155,507.90 ","$1,386,124.33 ","$2,600.00 ","$1,046,119.50 ",,"$2,434,843.83 ","$42,651.79 ",,,,"$10,027.92 ",,,$349.20 ,"$2,487,872.74 ","$1,951,949.91 ",,,,,,,"$8,650.00 ",,"$1,815.00 ","$10,465.00 ","$64,575.00 ","$2,026,989.91 ",,"$460,882.83 ","$2,424,378.83 ","$1,941,921.99 ",,,01-01-15,10/19/2016,Y,248701
H8FL15107,"POSEY, BILL",H,FL,8,REP,INCUMBENT,P. O. BOX 411486,,MELBOURNE,FL,32941,"$395,547.04 ","$67,676.00 ","$463,223.04 ",,"$381,820.00 ",,"$845,043.04 ",,,,,$464.90 ,,,$402.60 ,"$845,910.54 ","$517,015.07 ",,,,,,,"$7,250.00 ",,,"$7,250.00 ","$75,300.00 ","$599,565.07 ","$342,230.68 ","$588,576.15 ","$837,793.04 ","$516,550.17 ",,,01-01-15,10/19/2016,Y,246257
H4VA08224,"BEYER, DONALD STERNOFF JR.",H,VA,8,DEM,INCUMBENT,1751 POTOMAC GREENS DRIVE,,ALEXANDRIA,VA,22314,"$1,101,330.00 ","$54,145.29 ","$1,155,475.29 ",,"$828,886.67 ","$5,601.65 ","$1,989,963.61 ",,,,,"$19,250.13 ",,,$169.19 ,"$2,009,382.93 ","$761,705.05 ",,,,"$191,300.00 ",,"$191,300.00 ","$1,501.47 ",,"$6,000.00 ","$7,501.47 ","$320,380.00 ","$1,280,886.52 ","$86,253.61 ","$814,750.02 ","$1,982,462.14 ","$742,454.92 ",,,01-01-15,10/19/2016,Y,245775
H2MI14111,"LAWRENCE, BRENDA LULENAR",H,MI,14,DEM,INCUMBENT,20580 WAYLAND ST,,SOUTHFIELD,MI,48076,"$265,276.89 ","$49,563.30 ","$314,840.19 ",,"$468,092.89 ",,"$782,933.08 ",,,,,$600.00 ,,,$241.23 ,"$783,774.31 ","$499,453.15 ",,,,,,,"$6,500.00 ",,"$10,000.00 ","$16,500.00 ","$128,644.22 ","$644,597.37 ","$89,131.21 ","$228,308.15 ","$766,433.08 ","$498,853.15 ",,,01-01-15,10/19/2016,Y,244220
H0OH12062,"TIBERI, PATRICK J.",H,OH,12,REP,INCUMBENT,6830 MAHOGANY DRIVE,,GALENA,OH,430218059,"$1,500,081.69 ","$62,550.60 ","$1,562,632.29 ",,"$2,699,015.00 ",,"$4,261,647.29 ",,,,,$475.00 ,,,"$18,399.09 ","$4,280,521.38 ","$1,319,059.81 ",,,,,,,$50.00 ,,"$2,750.00 ","$2,800.00 ","$258,708.67 ","$1,580,568.48 ","$2,501,982.76 ","$5,201,935.66 ","$4,258,847.29 ","$1,318,584.81 ",,,01-01-15,10/19/2016,Y,243970
H0LA01087,"SCALISE, STEVE MR.",H,LA,1,REP,INCUMBENT,234 JEFFERSON HEIGHTS AVE,,JEFFERSON,LA,70121,"$421,165.00 ","$8,938.21 ","$430,103.21 ",,"$438,849.86 ",,"$868,953.07 ","$2,490,273.66 ",,,,"$10,295.47 ",,,"$9,452.85 ","$3,378,975.05 ","$2,459,809.06 ",,,"$753,955.00 ",,,,,,"$5,000.00 ","$5,000.00 ","$188,000.00 ","$3,406,764.06 ","$482,793.91 ","$455,004.90 ","$863,953.07 ","$2,449,513.59 ",,,01-01-15,10/19/2016,Y,243575
H6GA05217,"LEWIS, JOHN R.",H,GA,5,DEM,INCUMBENT,2015 WALLACE RD.,,ATLANTA,GA,30331,"$357,268.09 ","$54,375.24 ","$411,643.33 ",,"$571,850.00 ",,"$983,493.33 ",,,,,$164.98 ,,,,"$983,658.31 ","$655,731.53 ",,,,,,,"$3,130.00 ",,,"$3,130.00 ","$273,000.00 ","$931,861.53 ","$184,419.65 ","$236,216.43 ","$980,363.33 ","$655,566.55 ",,,01-01-15,10/19/2016,Y,241773
H4CO04090,"BUCK, KENNETH R",H,CO,4,REP,INCUMBENT,PO BOX 338018,,GREELEY,CO,80633,"$380,583.38 ","$139,658.38 ","$520,241.76 ",$150.00 ,"$294,119.91 ",,"$814,511.67 ","$122,124.34 ",,,,"$1,111.85 ",,,"$26,514.62 ","$964,262.48 ","$551,168.76 ",,,"$122,124.34 ",,,,"$5,350.00 ",,"$1,000.00 ","$6,350.00 ","$23,500.00 ","$703,143.10 ","$140,466.09 ","$401,585.47 ","$808,161.67 ","$550,056.91 ",,,01-01-15,10/19/2016,Y,241424
H4AL06098,"PALMER, GARY",H,AL,6,REP,INCUMBENT,1919 OXMOOR RD #235,,BIRMINGHAM,AL,352093502,"$896,800.00 ","$11,360.52 ","$908,160.52 ",,"$279,264.00 ",,"$1,187,424.52 ",,,,,"$13,531.88 ",,,"$1,000.00 ","$1,201,956.40 ","$465,478.12 ",,,,,,,"$9,650.00 ",,"$2,700.00 ","$12,350.00 ","$132,040.82 ","$609,868.94 ","$189,712.50 ","$781,799.96 ","$1,175,074.52 ","$451,946.24 ",,,01-01-15,10/19/2016,Y,240897
H8OH05036,"LATTA, ROBERT EDWARD MR",H,OH,5,REP,INCUMBENT,1528 MUIRFIELD DRIVE,,BOWLING GREEN,OH,434025211,"$353,475.97 ","$54,170.15 ","$407,646.12 ",$250.00 ,"$592,672.20 ",,"$1,000,568.32 ",,,,,$147.61 ,,,$0.57 ,"$1,000,716.50 ","$384,642.27 ",,,,,,,$250.00 ,,"$1,959.84 ","$2,209.84 ","$227,195.00 ","$614,047.11 ","$492,878.98 ","$879,548.37 ","$998,358.48 ","$384,494.66 ",,,01-01-15,10/19/2016,Y,240036
H6FL19087,"ROONEY, FRANCIS",H,FL,19,REP,OPEN,610 S. BOULEVARD,,TAMPA,FL,33606,"$830,547.50 ","$36,711.00 ","$867,258.50 ",,,"$3,686,754.00 ","$4,554,012.50 ",,"$450,000.00 ",,"$450,000.00 ",$286.35 ,,,,"$5,004,298.85 ","$4,718,827.88 ",,,,,,,"$3,950.00 ",,,"$3,950.00 ",,"$4,722,777.88 ",,"$281,520.97 ","$4,550,062.50 ","$4,718,541.53 ","$450,000.00 ",,04-01-16,10/19/2016,Y,238975
H2MO02102,"WAGNER, ANN L.",H,MO,2,REP,INCUMBENT,PO BOX 50,,BALLWIN,MO,63022,"$1,047,225.00 ","$7,985.70 ","$1,055,210.70 ",,"$1,155,750.00 ",,"$2,210,960.70 ",,,,,"$4,225.40 ",,,,"$2,215,186.10 ","$1,122,537.65 ",,,"$50,000.00 ",,,,"$7,700.00 ",,$500.00 ,"$8,200.00 ","$24,600.00 ","$1,205,337.65 ","$1,368,888.91 ","$2,378,737.36 ","$2,202,760.70 ","$1,118,312.25 ",,,01-01-15,10/19/2016,Y,238826
H4NC01046,"BUTTERFIELD, G K",H,NC,1,DEM,INCUMBENT,2407 BEL AIR AVENUE,,WILSON,NC,27893,"$153,750.00 ","$25,092.48 ","$178,842.48 ",,"$855,581.36 ",,"$1,034,423.84 ",,,,,"$8,597.50 ",,,$71.56 ,"$1,043,092.90 ","$653,860.34 ",,,,,,,"$1,270.00 ",,,"$1,270.00 ","$97,494.85 ","$752,625.19 ","$387,090.38 ","$677,558.09 ","$1,033,153.84 ","$645,262.84 ",,,01-01-15,10/19/2016,Y,237938
H8PA01153,"BRADY, ROBERT A",H,PA,1,DEM,INCUMBENT,206 CANNON HOUSE OFFICE BLDG,,WASHINGTON,DC,20515,"$335,075.00 ","$3,791.00 ","$338,866.00 ",,"$305,700.00 ",,"$644,566.00 ",,,,,,,,"$6,151.96 ","$650,717.96 ","$302,059.98 ",,,,,,,,,,,"$323,065.00 ","$625,124.98 ","$549,473.17 ","$575,066.15 ","$644,566.00 ","$302,059.98 ",,"$5,000.00 ",01-01-15,10/19/2016,Y,237882
H0SD00054,"NOEM, KRISTI LYNN",H,SD,0,REP,INCUMBENT,PO BOX 852,,SIOUX FALLS,SD,571017101,"$936,562.81 ","$173,345.64 ","$1,109,908.45 ",$750.00 ,"$1,114,637.00 ",,"$2,225,295.45 ","$9,629.37 ",,,,"$7,747.35 ",,,"$3,254.23 ","$2,245,926.40 ","$1,090,103.90 ",,,,,,,"$2,550.00 ",,"$5,000.00 ","$7,550.00 ","$56,110.00 ","$1,153,763.90 ","$802,383.57 ","$1,894,546.07 ","$2,217,745.45 ","$1,082,356.55 ",,,01-01-15,10/19/2016,Y,237141
H0MO06073,"GRAVES, SAMUEL B JR 'SAM'",H,MO,6,REP,INCUMBENT,19181 STATE HIGHWAY O,,TARKIO,MO,64491,"$262,533.39 ","$17,363.66 ","$279,897.05 ",,"$1,142,321.40 ",,"$1,422,218.45 ","$32,750.00 ",,,,"$2,000.00 ",,,"$6,310.16 ","$1,463,278.61 ","$1,010,699.48 ",,,"$2,743.29 ",,,,"$2,300.00 ",,"$1,000.00 ","$3,300.00 ","$262,850.00 ","$1,279,592.77 ","$394,483.22 ","$578,169.06 ","$1,418,918.45 ","$1,008,699.48 ","$5,522.41 ",,01-01-15,10/19/2016,Y,236938
H0ID01253,"LABRADOR, RAUL R. HON.",H,ID,1,REP,INCUMBENT,1846 W RUSH ROAD,,EAGLE,ID,836163636,"$221,841.43 ","$38,983.49 ","$260,824.92 ",,"$205,350.00 ",,"$466,174.92 ",,,,,"$5,399.09 ",,,$600.00 ,"$472,174.01 ","$761,145.67 ",,,,,,,"$2,314.18 ",,,"$2,314.18 ","$59,150.00 ","$822,609.85 ","$370,198.86 ","$19,763.02 ","$463,860.74 ","$755,746.58 ",,,01-01-15,10/19/2016,Y,236397
H4MN06087,"EMMER, THOMAS EARL JR.",H,MN,6,REP,INCUMBENT,PO BOX 998,,ANOKA,MN,553030998,"$702,945.46 ","$188,861.93 ","$891,807.39 ",,"$757,780.00 ",,"$1,649,587.39 ","$115,695.56 ","$10,000.00 ",,"$10,000.00 ",$15.00 ,,,,"$1,775,297.95 ","$1,178,800.31 ",,,,"$25,000.00 ",,"$25,000.00 ","$14,400.00 ",,,"$14,400.00 ","$157,503.00 ","$1,375,703.31 ","$18,199.74 ","$417,793.38 ","$1,635,187.39 ","$1,178,785.31 ",,,01-01-15,10/19/2016,Y,235384
H8MA05143,"TSONGAS, NICOLA S",H,MA,3,DEM,INCUMBENT,PO BOX 1454,,LOWELL,MA,1853,"$633,028.07 ","$111,799.76 ","$744,827.83 ",,"$368,324.80 ",,"$1,113,152.63 ","$43,051.00 ",,,,$9.67 ,,,,"$1,156,213.30 ","$825,216.50 ",,,,,,,"$9,113.80 ",,"$1,000.00 ","$10,113.80 ","$229,869.54 ","$1,065,199.84 ","$401,337.73 ","$492,351.19 ","$1,103,038.83 ","$825,206.83 ",,,01-01-15,10/19/2016,Y,234361
H2KY04121,"MASSIE, THOMAS H.",H,KY,4,REP,INCUMBENT,PO BOX 821,,NEWPORT,KY,410721072,"$249,511.01 ","$35,874.33 ","$285,385.34 ",,"$101,888.00 ",,"$387,273.34 ","$53,000.00 ",,,,"$2,565.19 ",,,,"$442,838.53 ","$250,009.87 ",,,,,,,"$1,540.00 ",,"$4,674.88 ","$6,214.88 ","$63,450.00 ","$319,674.75 ","$202,274.26 ","$325,438.04 ","$381,058.46 ","$247,444.68 ",,,01-01-15,10/19/2016,Y,233922
H6DE00206,"ROCHESTER, LISA BLUNT",H,DE,0,DEM,OPEN,PO BOX 9767,,WILMINGTON,DE,19809,"$501,399.08 ","$173,949.27 ","$675,348.35 ","$5,000.00 ","$224,885.23 ","$3,505.00 ","$908,738.58 ",,"$464,500.00 ",,"$464,500.00 ",$12.00 ,,,,"$1,373,250.58 ","$1,102,668.32 ",,,,"$60,600.00 ",,"$60,600.00 ",$696.78 ,,,$696.78 ,,"$1,163,965.10 ",,"$209,285.48 ","$908,041.80 ","$1,102,656.32 ","$310,600.00 ",,10-01-15,10/19/2016,Y,233542
H8OH11141,"FUDGE, MARCIA L",H,OH,11,DEM,INCUMBENT,26911 EMERY RD,,WARRENSVILLE HEIGH,OH,44122,"$59,550.00 ","$9,630.13 ","$69,180.13 ",,"$600,701.17 ",,"$669,881.30 ",$14.02 ,,,,$400.60 ,,,$204.55 ,"$670,500.47 ","$568,471.50 ",,,,,,,"$1,819.95 ",,"$7,600.00 ","$9,419.95 ",,"$577,891.45 ","$667,845.18 ","$760,454.20 ","$660,461.35 ","$568,070.90 ",,,01-01-15,10/19/2016,Y,233285
H0ND01026,"CRAMER, KEVIN MR.",H,ND,0,REP,INCUMBENT,PO BOX 396,,BISMARCK,ND,58502,"$414,472.07 ","$85,432.35 ","$499,904.42 ",,"$810,500.00 ",,"$1,310,404.42 ",,,,,"$1,600.16 ",,,$300.00 ,"$1,312,304.58 ","$729,518.58 ",,,,,,,$600.00 ,,"$1,000.00 ","$1,600.00 ","$6,500.00 ","$737,618.58 ","$20,897.96 ","$595,583.96 ","$1,308,804.42 ","$727,918.42 ",,,01-01-15,10/19/2016,Y,233245
H4NC12100,"ADAMS, ALMA SHEALEY",H,NC,12,DEM,INCUMBENT,310 W 10TH STREET,,CHARLOTTE,NC,28202,"$225,173.68 ","$67,658.20 ","$292,831.88 ",$696.60 ,"$598,293.93 ",,"$891,822.41 ",,,,,"$2,019.78 ",,,$0.02 ,"$893,842.21 ","$780,095.54 ",,,"$15,000.00 ",,,,"$2,110.00 ",,,"$2,110.00 ","$2,410.00 ","$799,615.54 ","$23,091.45 ","$117,318.12 ","$889,712.41 ","$778,075.76 ",,,01-01-15,10/19/2016,Y,232451
H4IL07037,"DAVIS, DANNY K. MR.",H,IL,7,DEM,INCUMBENT,5956 W. RACE AVENUE,,CHICAGO,IL,60644,"$35,542.80 ","$17,045.00 ","$52,587.80 ",,"$452,519.52 ",,"$505,107.32 ",,,,,,,,$30.67 ,"$505,137.99 ","$376,136.26 ",,,,,,,,,,,"$122,573.54 ","$498,709.80 ","$255,301.90 ","$271,505.73 ","$505,107.32 ","$376,136.26 ","$58,954.71 ",,01-01-15,10/19/2016,Y,232322
H0MO01066,"CLAY, WILLIAM LACY JR",H,MO,1,DEM,INCUMBENT,6023 WATERMAN UNIT 1W,,SAINT LOUIS,MO,63112,"$57,839.61 ","$8,096.73 ","$65,936.34 ",,"$533,260.50 ",,"$599,196.84 ",,,,,"$4,043.15 ",,,,"$603,239.99 ","$609,317.83 ",,,"$1,000.00 ",,,,,,,,"$44,315.85 ","$654,633.68 ","$317,053.11 ","$265,324.14 ","$599,196.84 ","$605,274.68 ",,,01-01-15,10/19/2016,Y,231604
H6FL02208,"DUNN, NEAL PATRICK MD, FACS",H,FL,2,REP,OPEN,2640A MITCHAM DRIVE,,TALLAHASSEE,FL,32308,"$954,432.70 ","$53,216.66 ","$1,007,649.36 ","$2,300.00 ","$284,150.00 ","$5,420.16 ","$1,299,519.52 ",,"$595,000.00 ",,"$595,000.00 ",$6.00 ,,,,"$1,894,525.52 ","$1,743,649.09 ",,,,"$61,618.80 ",,"$61,618.80 ","$1,800.00 ",,,"$1,800.00 ","$3,000.00 ","$1,810,067.89 ",,"$81,539.11 ","$1,297,719.52 ","$1,743,643.09 ","$294,601.30 ",,07-01-15,10/19/2016,Y,230838
H6FL13148,"BUCHANAN, VERNON",H,FL,16,REP,INCUMBENT,P. O. BOX 48928,,SARASOTA,FL,34230,"$852,270.00 ","$21,544.46 ","$873,814.46 ",,"$661,515.10 ",,"$1,535,329.56 ",$0.50 ,,,,$697.11 ,,,"$10,898.19 ","$1,546,925.36 ","$682,621.47 ",,,,,,,"$13,400.00 ",,,"$13,400.00 ","$2,000.00 ","$698,021.47 ","$724,712.57 ","$1,573,616.46 ","$1,521,929.56 ","$681,924.36 ",,,01-01-15,10/19/2016,Y,230187
